county_fips,year,outage_event_uid,duration_hours,severe_weather_flag,outage_mean_customers,outage_max_customers
36005,2019,2019_92585,2.0,0,335.75,404.0
36005,2019,2019_92586,0.5,0,204.5,205.0
36005,2019,2019_92587,3.25,0,317.84615384615387,323.0
36005,2019,2019_92588,0.25,0,559.0,559.0
36005,2019,2019_92589,3.5,0,1524.357142857143,1864.0
36005,2019,2019_92590,0.25,0,213.0,213.0
36005,2019,2019_92591,2.25,0,221.11111111111111,260.0
36005,2019,2019_92592,0.75,0,218.0,226.0
36005,2019,2019_92593,2.5,0,924.0,924.0
36005,2019,2019_92594,0.75,0,467.0,467.0
36005,2019,2019_92595,4.25,0,626.7058823529412,901.0
36005,2019,2019_92596,2.0,0,437.25,440.0
36005,2019,2019_92597,3.0,0,328.3333333333333,535.0
36005,2019,2019_92598,1.75,0,270.14285714285717,280.0
36005,2019,2019_92599,2.25,0,206.55555555555551,226.0
36005,2019,2019_92600,1.25,0,1156.8,1420.0
36005,2019,2019_92601,5.75,0,842.1304347826087,1154.0
36005,2019,2019_92602,1.5,0,1034.8333333333333,1036.0
36005,2019,2019_92603,3.0,0,346.6666666666667,348.0
36005,2019,2019_92604,2.0,0,295.875,296.0
36005,2019,2019_92605,0.25,0,462.0,462.0
36005,2019,2019_92606,0.25,0,258.0,258.0
36005,2019,2019_92607,2.75,0,892.2727272727273,893.0
36005,2019,2019_92608,0.5,0,523.0,523.0
36005,2019,2019_92609,0.5,0,301.0,301.0
36005,2019,2019_92610,2.5,0,443.9,445.0
36005,2019,2019_92611,1.0,0,443.75,444.0
36005,2019,2019_92612,4.5,0,219.22222222222223,220.0
36005,2019,2019_92613,4.0,0,927.4375,928.0
36005,2019,2019_92614,1.25,0,559.0,559.0
36005,2019,2019_92615,0.25,0,470.0,470.0
36005,2019,2019_92616,0.5,0,321.0,328.0
36005,2019,2019_92617,1.5,0,297.3333333333333,299.0
36005,2019,2019_92618,2.25,0,1412.111111111111,1529.0
36005,2019,2019_92619,1.25,0,204.2,206.0
36005,2019,2019_92620,1.0,0,3513.0,4975.0
36005,2019,2019_92621,0.5,0,1431.5,2621.0
36005,2019,2019_92622,1.25,0,317.4,370.0
36005,2019,2019_92623,4.5,0,260.0,267.0
36005,2019,2019_92624,14.25,0,1580.59649122807,3881.0
36005,2019,2019_92625,3.0,0,473.4166666666667,1711.0
36005,2019,2019_92626,6.0,0,512.6666666666666,1589.0
36005,2019,2019_92627,1.75,0,1316.428571428571,1361.0
36005,2019,2019_92628,1.0,0,361.0,417.0
36005,2019,2019_92629,5.25,0,305.6190476190476,490.0
36005,2019,2019_92630,7.0,0,272.67857142857144,340.0
36005,2019,2019_92631,3.75,0,243.93333333333337,264.0
36005,2019,2019_92632,9.75,0,251.25641025641025,279.0
36005,2019,2019_92633,3.5,0,478.57142857142856,600.0
36005,2019,2019_92634,1.0,0,254.0,254.0
36005,2019,2019_92635,0.25,0,448.0,448.0
36005,2019,2019_92636,0.5,0,358.5,371.0
36005,2019,2019_92637,1.0,0,420.5,421.0
36005,2019,2019_92638,2.25,0,213.33333333333337,214.0
36005,2019,2019_92639,1.5,0,635.0,635.0
36005,2019,2019_92640,1.0,0,215.0,215.0
36005,2019,2019_92641,0.25,0,706.0,706.0
36005,2019,2019_92642,3.5,0,1326.5,2024.0
36005,2019,2019_92643,2.25,0,1739.0,1775.0
36005,2019,2019_92644,1.75,0,432.8571428571428,473.0
36005,2019,2019_92645,1.5,0,646.3333333333334,831.0
36005,2019,2019_92646,0.5,0,322.0,323.0
36005,2019,2019_92647,2.25,0,240.0,240.0
36005,2019,2019_92648,0.75,0,207.0,207.0
36005,2019,2019_92649,2.5,0,222.4,255.0
36005,2019,2019_92650,0.75,0,965.3333333333334,988.0
36005,2019,2019_92651,0.75,0,226.0,239.0
36005,2019,2019_92652,0.25,0,313.0,313.0
36005,2019,2019_92653,3.0,0,1420.8333333333333,2043.0
36005,2019,2019_92654,0.75,0,1296.6666666666667,1298.0
36005,2019,2019_92655,1.75,0,403.0,480.0
36005,2019,2019_92656,0.25,0,316.0,316.0
36005,2019,2019_92657,2.5,0,348.5,350.0
36005,2019,2019_New York-0,0.5,1,322.0,323.0
36005,2019,2019_New York-1,1.0,1,361.0,417.0
36005,2019,2019_New York-2,2.0,0,295.875,296.0
36005,2019,2019_New York-4,0.5,1,322.0,323.0
36005,2019,2019_New York-7,1.25,1,204.2,206.0
36005,2020,2020_98096,1.5,0,362.3333333333333,379.0
36005,2020,2020_98097,1.75,0,1256.571428571429,1343.0
36005,2020,2020_98098,0.5,0,242.5,244.0
36005,2020,2020_98099,3.25,0,263.53846153846155,305.0
36005,2020,2020_98100,2.75,0,564.0909090909091,629.0
36005,2020,2020_98101,1.0,0,591.75,592.0
36005,2020,2020_98102,0.25,0,451.0,451.0
36005,2020,2020_98103,3.0,0,315.25,451.0
36005,2020,2020_98104,0.75,0,760.6666666666666,761.0
36005,2020,2020_98105,12.75,0,403.05882352941177,706.0
36005,2020,2020_98106,0.25,0,1011.0,1011.0
36005,2020,2020_98107,0.25,0,578.0,578.0
36005,2020,2020_98108,6.0,0,254.45833333333337,256.0
36005,2020,2020_98109,1.0,0,476.0,476.0
36005,2020,2020_98110,0.5,0,307.5,308.0
36005,2020,2020_98111,2.25,0,278.6666666666667,287.0
36005,2020,2020_98112,1.75,0,238.0,238.0
36005,2020,2020_98113,2.5,0,678.1,679.0
36005,2020,2020_98114,2.25,0,257.0,257.0
36005,2020,2020_98115,0.75,0,257.0,257.0
36005,2020,2020_98116,0.25,0,710.0,710.0
36005,2020,2020_98117,0.25,0,229.0,229.0
36005,2020,2020_98118,4.0,0,264.0,267.0
36005,2020,2020_98119,2.0,0,646.375,650.0
36005,2020,2020_98120,1.75,0,600.4285714285714,601.0
36005,2020,2020_98121,3.0,0,241.41666666666663,243.0
36005,2020,2020_98122,4.5,0,372.94444444444446,467.0
36005,2020,2020_98123,1.5,0,2329.0,2335.0
36005,2020,2020_98124,7.5,0,458.03333333333336,854.0
36005,2020,2020_98125,2.25,0,461.0,462.0
36005,2020,2020_98126,4.75,0,843.3684210526316,1152.0
36005,2020,2020_98127,1.75,0,538.4285714285714,957.0
36005,2020,2020_98128,0.25,0,356.0,356.0
36005,2020,2020_98129,0.25,0,233.0,233.0
36005,2020,2020_98130,5.75,0,401.4347826086956,527.0
36005,2020,2020_98131,13.75,0,499.25454545454545,625.0
36005,2020,2020_98132,3.75,0,2346.0666666666666,2705.0
36005,2020,2020_98133,1.0,0,719.75,1910.0
36005,2020,2020_98134,0.25,0,833.0,833.0
36005,2020,2020_98135,24.75,0,922.878787878788,1137.0
36005,2020,2020_98136,1.5,0,297.0,297.0
36005,2020,2020_98137,14.75,0,834.4745762711865,1295.0
36005,2020,2020_98138,0.25,0,209.0,209.0
36005,2020,2020_98139,181.0,0,10233.4682320442,23271.0
36005,2020,2020_98140,2.0,0,2823.125,3900.0
36005,2020,2020_98141,5.5,0,1561.3181818181818,1665.0
36005,2020,2020_98142,1.75,0,1765.571428571429,1768.0
36005,2020,2020_98143,0.5,0,1115.0,1115.0
36005,2020,2020_98144,1.25,0,414.0,1158.0
36005,2020,2020_98145,3.25,0,986.0,1005.0
36005,2020,2020_98146,3.0,0,245.16666666666663,246.0
36005,2020,2020_98147,2.0,0,244.125,245.0
36005,2020,2020_98148,1.25,0,341.6,758.0
36005,2020,2020_98149,1.25,0,220.2,226.0
36005,2020,2020_98150,2.25,0,250.11111111111111,256.0
36005,2020,2020_98151,8.25,0,306.3636363636364,313.0
36005,2020,2020_98152,6.25,0,324.76,345.0
36005,2020,2020_98153,9.5,0,426.05263157894734,455.0
36005,2020,2020_98154,1.25,0,213.0,213.0
36005,2020,2020_98155,1.75,0,396.7142857142857,399.0
36005,2020,2020_98156,3.0,0,1314.6666666666667,1632.0
36005,2020,2020_98157,1.5,0,447.1666666666667,489.0
36005,2020,2020_98158,4.5,0,282.55555555555554,604.0
36005,2020,2020_98159,7.0,0,3046.75,3896.0
36005,2020,2020_98160,3.25,0,362.3076923076923,452.0
36005,2020,2020_98161,3.25,0,568.3076923076923,639.0
36005,2020,2020_98162,1.0,0,373.75,376.0
36005,2020,2020_98163,2.5,0,679.4,688.0
36005,2020,2020_98164,1.0,0,633.75,651.0
36005,2020,2020_98165,3.0,0,571.3333333333334,633.0
36005,2020,2020_98166,2.75,0,666.3636363636364,667.0
36005,2020,2020_98167,2.75,0,335.3636363636364,336.0
36005,2020,2020_98168,3.25,0,430.6923076923077,474.0
36005,2020,2020_98169,2.0,0,559.0,575.0
36005,2020,2020_98170,13.5,0,1130.462962962963,1715.0
36005,2020,2020_98171,0.5,0,732.0,1084.0
36005,2020,2020_98172,2.75,0,1030.8181818181818,1120.0
36005,2020,2020_98173,2.25,0,260.22222222222223,261.0
36005,2020,2020_98174,1.0,0,355.0,418.0
36005,2020,2020_98175,1.0,0,251.5,256.0
36005,2020,2020_98176,0.5,0,1065.0,1066.0
36005,2020,2020_98177,0.25,0,549.0,549.0
36005,2020,2020_98178,0.25,0,1160.0,1160.0
36005,2020,2020_98179,0.5,0,1347.0,1347.0
36005,2020,2020_98180,19.5,0,256.71794871794873,376.0
36005,2020,2020_98181,1.25,0,213.4,233.0
36005,2020,2020_98182,0.25,0,201.0,201.0
36005,2020,2020_98183,0.75,0,204.66666666666663,214.0
36005,2020,2020_98184,0.25,0,207.0,207.0
36005,2020,2020_98185,0.5,0,208.5,209.0
36005,2020,2020_98186,13.5,0,375.27777777777777,488.0
36005,2020,2020_98187,0.25,0,229.0,229.0
36005,2020,2020_98188,0.75,0,227.33333333333337,228.0
36005,2020,2020_98189,21.5,0,409.9651162790698,675.0
