county_fips,year,month,outage_occurrence,outage_duration_mean,severe_weather_count,severe_weather_share,outage_mean_customers_mean,outage_max_customers_mean,county_name,year_centered,days_in_month,log_days,log_outage_occurrence,log_outage_duration_mean,log_outage_mean_customers
36081,2019,6,24.0,2.125,1.0,0.041666666666666664,400.37772607022606,466.875,Queens,0.5,30,3.4011973816621555,3.2188758248682006,1.1394342831883648,5.9949029442152675
36081,2019,7,25.0,6.25,1.0,0.04,872.0665701256023,2077.4,Queens,0.5,31,3.4339872044851463,3.258096538021482,1.9810014688665833,6.772011807371787
36081,2019,8,14.0,1.4107142857142858,0.0,0.0,602.7248299319727,680.7142857142857,Queens,0.5,31,3.4339872044851463,2.70805020110221,0.8799230877032802,6.40311851454408
36081,2019,9,2.0,0.875,0.0,0.0,368.1,368.5,Queens,0.5,30,3.4011973816621555,1.0986122886681098,0.6286086594223741,5.911067610035953
36081,2019,10,16.0,3.046875,1.0,0.0625,550.0274302572376,785.625,Queens,0.5,31,3.4339872044851463,2.833213344056216,1.3979449783398659,6.31178459059481
36081,2019,11,11.0,4.4772727272727275,1.0,0.09090909090909091,825.2032828282828,1460.4545454545455,Queens,0.5,30,3.4011973816621555,2.4849066497880004,1.700607299572394,6.716840848361067
36081,2019,12,25.0,1.82,0.0,0.0,480.1052222222222,525.44,Queens,0.5,31,3.4339872044851463,3.258096538021482,1.0367368849500223,6.176086003400647
36081,2020,1,15.0,2.066666666666667,0.0,0.0,397.05735517568854,444.0,Queens,1.5,31,3.4339872044851463,2.772588722239781,1.120591195386885,5.986596103383437
36081,2020,2,7.0,3.0714285714285716,1.0,0.14285714285714285,641.417970521542,947.5714285714286,Queens,1.5,29,3.367295829986474,2.0794415416798357,1.4039939382192916,6.465239136278555
36081,2020,3,12.0,2.0833333333333335,0.0,0.0,464.3233679057209,502.0,Queens,1.5,31,3.4339872044851463,2.5649493574615367,1.1260112628562242,6.142732578749504
36081,2020,4,9.0,2.25,0.0,0.0,498.4904761904761,629.8888888888889,Queens,1.5,30,3.4011973816621555,2.302585092994046,1.1786549963416462,6.213588531221103
36081,2020,5,11.0,1.0227272727272727,1.0,0.09090909090909091,404.1753246753247,446.8181818181818,Queens,1.5,31,3.4339872044851463,2.4849066497880004,0.7044467358138786,6.0043198738650805
36081,2020,6,16.0,1.6875,0.0,0.0,418.90422181984684,546.75,Queens,1.5,30,3.4011973816621555,2.833213344056216,0.9886113934537812,6.040026641985511
36081,2020,7,34.0,4.727941176470588,0.0,0.0,547.5963177849385,795.9117647058823,Queens,1.5,31,3.4339872044851463,3.5553480614894135,1.7453561601346963,6.307362866459355
36081,2020,8,24.0,12.760416666666666,0.0,0.0,1343.664721396204,3053.0416666666665,Queens,1.5,31,3.4339872044851463,3.2188758248682006,2.621796113054489,7.203899983188732
36081,2020,9,8.0,2.0625,0.0,0.0,429.60074404761906,566.75,Queens,1.5,30,3.4011973816621555,2.1972245773362196,1.1192315758708453,6.065181312861002
