state,county,tract_fips,county_fips,cvi_overall,cvi_baseline_all,cvi_baseline_health,cvi_baseline_social_econ,cvi_baseline_infra,cvi_baseline_env,cvi_climate_all,cvi_climate_health,cvi_climate_social_econ,cvi_climate_extreme_events,outage_rows_2014,outage_rows_2015,outage_rows_2016,outage_rows_2017,outage_rows_2018,outage_rows_2019,outage_rows_2020,outage_rows_2021,outage_rows_2022,outage_rows_2023,outage_unique_events_2014,outage_unique_events_2015,outage_unique_events_2016,outage_unique_events_2017,outage_unique_events_2018,outage_unique_events_2019,outage_unique_events_2020,outage_unique_events_2021,outage_unique_events_2022,outage_unique_events_2023,outage_rows_2014_2023,outage_unique_events_2014_2023
NY,Bronx,36005005400,36005,0.594575261343693,0.690015543034664,0.677848772871068,0.818096878909567,0.617608719395401,0.646507800962621,0.467321552422399,0.474419592871508,0.43795789439436,0.489587170001329,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005005600,36005,0.589287974019952,0.709630066219964,0.727112425496538,0.848872456095654,0.632201928176599,0.630333455111067,0.428831851086603,0.477991580530729,0.404033387727401,0.404470585001677,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005005902,36005,0.563403034009764,0.688006899017057,0.68258283001379,0.743093593747679,0.612750055422016,0.713601116884745,0.397264547333373,0.497739261539226,0.395118796482372,0.298935583978521,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005006000,36005,0.57597862357482,0.659181851351202,0.640019178193286,0.780313876210559,0.454945538342276,0.761448812658688,0.465040986539644,0.548382136175728,0.396260889667071,0.450479933776134,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005006100,36005,0.532756500589463,0.603205959783116,0.500270132268756,0.637558262711323,0.571008750801396,0.703986693350987,0.43882388833126,0.52993343897788,0.4056646248088,0.380873601207101,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005006200,36005,0.585499575449865,0.709209693030504,0.703185958098122,0.897874749704976,0.558736042451432,0.677042021867487,0.420552752009013,0.45067278313265,0.429386837562088,0.381598635332301,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005006300,36005,0.608458251817585,0.682229772041521,0.602258512656736,0.797235188865973,0.587641764720723,0.741783621922651,0.510096224852338,0.533246091496304,0.426833289110732,0.570209293949978,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005006400,36005,0.579889626590765,0.691773356422596,0.642191090295425,0.813593128274466,0.632923336898326,0.678385870222165,0.430711320148323,0.492601899527952,0.410489371458294,0.389042689458723,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005006500,36005,0.591349060083498,0.703221067071016,0.686357653619625,0.838289087291241,0.586881851989733,0.701355675383467,0.44218638410014,0.517965453209037,0.417839217658184,0.390754481433199,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005006700,36005,0.590507159804942,0.713708309424523,0.711700280527589,0.841439514541112,0.655312420998827,0.646381021630566,0.426238960312166,0.479249142450136,0.419205312254836,0.380262426231527,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
NY,Bronx,36005006800,36005,0.553300288084529,0.664096786147987,0.646074881809242,0.788803406735342,0.571276543352007,0.650232312695356,0.405571623999919,0.433035476259913,0.404517586507218,0.379161809232625,6,71,107,64,194,89,118,109,165,111,6,69,76,64,105,78,105,106,155,101,1034,865
