year,month,obs_count,exp_count_days_adjusted,std_resid,resid_p,resid_q,high_month_sig_05,high_month_sig_01
2020,8,51488,23216.79781420765,185.5423773416266,0.0,0.0,True,True
2020,9,12002,22467.868852459014,-69.82233175336262,0.0,0.0,False,False
2020,10,16172,23216.79781420765,-46.234628642572105,0.0,0.0,False,False
2020,11,16597,22467.868852459014,-39.1671019841381,0.0,0.0,False,False
2020,12,29334,23216.79781420765,40.146868490852505,0.0,0.0,True,True
2021,1,16065,27128.482191780822,-67.17057918423967,0.0,0.0,False,False
2021,2,56325,24503.145205479454,203.2893245411476,0.0,0.0,True,True
2021,3,27437,27128.482191780822,1.8731281442410532,0.06105069178769222,0.06105069178769222,False,False
2021,4,15231,26253.369863013697,-68.02717739608833,0.0,0.0,False,False
2021,5,29583,27128.482191780822,14.902304711856216,3.1840413212281275e-50,3.4734996231579575e-50,True,True
2021,6,42164,26253.369863013697,98.19623840098419,0.0,0.0,True,True
2021,7,30807,27128.482191780822,22.333671030011367,1.740282919108163e-110,2.0883395029297955e-110,True,True
2021,8,32068,27128.482191780822,29.98967832347023,1.3379076331084972e-197,1.783876844144663e-197,True,True
2021,9,19853,26253.369863013697,-39.501405004818544,0.0,0.0,False,False
2021,10,16644,27128.482191780822,-63.65525148962215,0.0,0.0,False,False
2021,11,16422,26253.369863013697,-60.67663760422283,0.0,0.0,False,False
2021,12,16817,27128.482191780822,-62.60490314563454,0.0,0.0,False,False
2022,1,69726,49873.479452054795,88.89571352352532,0.0,0.0,True,True
2022,2,57591,45047.01369863014,59.10205317030262,0.0,0.0,True,True
2022,3,29877,49873.479452054795,-89.54033340783573,0.0,0.0,False,False
2022,4,123690,48264.65753424657,343.3228240877087,0.0,0.0,True,True
2022,5,43263,49873.479452054795,-29.600437194048713,1.4750298980702963e-192,1.609123525167596e-192,False,False
2022,6,41965,48264.65753424657,-28.67492734852298,7.839269320257513e-181,7.839269320257513e-181,False,False
2022,7,61870,49873.479452054795,53.71807833336314,0.0,0.0,True,True
2022,8,42083,49873.479452054795,-34.884246960391806,1.2887141838183933e-266,1.5464570205820719e-266,False,False
2022,9,24445,48264.65753424657,-108.42286990175367,0.0,0.0,False,False
2022,10,26115,49873.479452054795,-106.3858353917194,0.0,0.0,False,False
2022,11,25189,48264.65753424657,-105.03631343716442,0.0,0.0,False,False
2022,12,41406,49873.479452054795,-37.915720868708995,0.0,0.0,False,False
2023,1,15984,19121.054794520547,-22.68643115137547,6.0990280856661734e-114,1.0455476718284869e-113,False,False
2023,2,19058,17270.630136986303,13.60067112680694,3.967757246858999e-42,5.2903429958119986e-42,True,True
2023,3,14391,19121.054794520547,-34.20662674606687,1.9271911445120997e-256,3.8543822890241993e-256,False,False
2023,4,15977,18504.246575342466,-18.578554177118132,4.792435528488455e-77,7.188653292732684e-77,False,False
2023,5,20932,19121.054794520547,13.096323275826675,3.455980731613593e-39,4.147176877936311e-39,True,True
2023,6,8933,18504.246575342466,-70.36112929283922,0.0,0.0,False,False
2023,7,37758,19121.054794520547,134.7779372596794,0.0,0.0,True,True
2023,8,20393,19121.054794520547,9.198403987980686,3.633055815273102e-20,3.9633336166615664e-20,True,True
2023,9,31727,18504.246575342466,97.20446088145756,0.0,0.0,True,True
2023,10,13966,19121.054794520547,-37.28012525689162,3.4453612076908715e-304,8.268866898458092e-304,False,False
2023,11,7288,18504.246575342466,-82.45402197673491,0.0,0.0,False,False
2023,12,18728,19121.054794520547,-2.842478413250432,0.0044764262437316975,0.0044764262437316975,False,False
