tract_fips,1,2,3,4,5,6,7,8,9,10,11,12
36047005601,212,145,166,105,66,152,171,89,117,44,57,73
36047005602,212,145,166,105,66,152,171,89,117,44,57,73
36047005800,212,145,166,105,66,152,171,89,117,44,57,73
36047005900,212,145,166,105,66,152,171,89,117,44,57,73
36047006000,212,145,166,105,66,152,171,89,117,44,57,73
36047006200,212,145,166,105,66,152,171,89,117,44,57,73
36047006300,212,145,166,105,66,152,171,89,117,44,57,73
36047006400,212,145,166,105,66,152,171,89,117,44,57,73
36047006500,212,145,166,105,66,152,171,89,117,44,57,73
36047006600,212,145,166,105,66,152,171,89,117,44,57,73
36047006700,212,145,166,105,66,152,171,89,117,44,57,73
36047006800,212,145,166,105,66,152,171,89,117,44,57,73
36047006900,212,145,166,105,66,152,171,89,117,44,57,73
36047007000,212,145,166,105,66,152,171,89,117,44,57,73
36047007100,212,145,166,105,66,152,171,89,117,44,57,73
36047007200,212,145,166,105,66,152,171,89,117,44,57,73
36047007400,212,145,166,105,66,152,171,89,117,44,57,73
36047007500,212,145,166,105,66,152,171,89,117,44,57,73
36047007600,212,145,166,105,66,152,171,89,117,44,57,73
36047007700,212,145,166,105,66,152,171,89,117,44,57,73
36047007800,212,145,166,105,66,152,171,89,117,44,57,73
36047008000,212,145,166,105,66,152,171,89,117,44,57,73
36047008200,212,145,166,105,66,152,171,89,117,44,57,73
36047008400,212,145,166,105,66,152,171,89,117,44,57,73
36047008500,212,145,166,105,66,152,171,89,117,44,57,73
36047008600,212,145,166,105,66,152,171,89,117,44,57,73
36047008800,212,145,166,105,66,152,171,89,117,44,57,73
36047009000,212,145,166,105,66,152,171,89,117,44,57,73
36047009200,212,145,166,105,66,152,171,89,117,44,57,73
36047009400,212,145,166,105,66,152,171,89,117,44,57,73
36047009600,212,145,166,105,66,152,171,89,117,44,57,73
36047009800,212,145,166,105,66,152,171,89,117,44,57,73
36047010000,212,145,166,105,66,152,171,89,117,44,57,73
36047010100,212,145,166,105,66,152,171,89,117,44,57,73
